id,type,group,name
210,5,ctrltargetZ,z
211,5,ctrltargetZ,vx
212,5,ctrltargetZ,vy
213,5,ctrltargetZ,vz
214,5,ctrltargetZ,ax
215,5,ctrltargetZ,ay
216,5,ctrltargetZ,az
217,7,mag,x
218,7,mag,y
219,7,mag,z
220,7,stabilizer,roll
221,7,stabilizer,pitch
222,7,stabilizer,yaw
223,7,stabilizer,thrust
224,7,stabilizer,rtStab
225,3,stabilizer,intToOut
226,7,stateEstimate,x
227,7,stateEstimate,y
228,7,stateEstimate,z
229,7,stateEstimate,vx
230,7,stateEstimate,vy
231,7,stateEstimate,vz
232,7,stateEstimate,ax
233,7,stateEstimate,ay
234,7,stateEstimate,az
235,7,stateEstimate,roll
236,7,stateEstimate,pitch
237,7,stateEstimate,yaw
238,7,stateEstimate,qx
239,7,stateEstimate,qy
240,7,stateEstimate,qz
241,7,stateEstimate,qw
242,5,stateEstimateZ,x
243,5,stateEstimateZ,y
244,5,stateEstimateZ,z
245,5,stateEstimateZ,vx
246,5,stateEstimateZ,vy
247,5,stateEstimateZ,vz
248,5,stateEstimateZ,ax
249,5,stateEstimateZ,ay
250,5,stateEstimateZ,az
251,3,stateEstimateZ,quat
252,5,stateEstimateZ,rateRoll
253,5,stateEstimateZ,ratePitch
254,5,stateEstimateZ,rateYaw
255,2,supervisor,info
256,1,sys,canfly
257,1,sys,isFlying
258,1,sys,isTumbled
259,4,sys,testLogParam
260,7,tdoaEngine,stRx
261,7,tdoaEngine,stEst
262,7,tdoaEngine,stTime
263,7,tdoaEngine,stFound
264,7,tdoaEngine,stCc
265,7,tdoaEngine,stHit
266,7,tdoaEngine,stMiss
267,7,tdoaEngine,cc
268,2,tdoaEngine,tof
269,7,tdoaEngine,tdoa
270,7,kalman_pred,predNX
271,7,kalman_pred,predNY
272,7,kalman_pred,measNX
273,7,kalman_pred,measNY
274,1,lighthouse,validAngles
275,7,lighthouse,rawAngle0x
276,7,lighthouse,rawAngle0y
277,7,lighthouse,rawAngle1x
278,7,lighthouse,rawAngle1y
279,7,lighthouse,angle0x
280,7,lighthouse,angle0y
281,7,lighthouse,angle1x
282,7,lighthouse,angle1y
283,7,lighthouse,angle0x_1
284,7,lighthouse,angle0y_1
285,7,lighthouse,angle1x_1
286,7,lighthouse,angle1y_1
287,7,lighthouse,angle0x_2
288,7,lighthouse,angle0y_2
289,7,lighthouse,angle1x_2
290,7,lighthouse,angle1y_2
291,7,lighthouse,angle0x_3
292,7,lighthouse,angle0y_3
293,7,lighthouse,angle1x_3
294,7,lighthouse,angle1y_3
295,7,lighthouse,rawAngle0xlh2
296,7,lighthouse,rawAngle0ylh2
297,7,lighthouse,rawAngle1xlh2
298,7,lighthouse,rawAngle1ylh2
299,7,lighthouse,angle0x_0lh2
300,7,lighthouse,angle0y_0lh2
301,7,lighthouse,angle1x_0lh2
302,7,lighthouse,angle1y_0lh2
303,2,lighthouse,width0
304,2,lighthouse,width1
305,2,lighthouse,width2
306,2,lighthouse,width3
307,1,lighthouse,comSync
308,2,lighthouse,bsAvailable
309,2,lighthouse,bsReceive
310,2,lighthouse,bsActive
311,2,lighthouse,bsCalUd
312,2,lighthouse,bsCalCon
313,1,lighthouse,status
314,7,lighthouse,posRt
315,7,lighthouse,estBs0Rt
316,7,lighthouse,estBs1Rt
317,7,lighthouse,x
318,7,lighthouse,y
319,7,lighthouse,z
320,7,lighthouse,delta
321,2,lighthouse,bsGeoVal
322,2,lighthouse,bsCalVal
323,7,lighthouse,disProb
324,7,pid_attitude,roll_outP
325,7,pid_attitude,roll_outI
326,7,pid_attitude,roll_outD
327,7,pid_attitude,roll_outFF
328,7,pid_attitude,pitch_outP
329,7,pid_attitude,pitch_outI
330,7,pid_attitude,pitch_outD
331,7,pid_attitude,pitch_outFF
332,7,pid_attitude,yaw_outP
333,7,pid_attitude,yaw_outI
334,7,pid_attitude,yaw_outD
335,7,pid_attitude,yaw_outFF
336,7,pid_rate,roll_outP
337,7,pid_rate,roll_outI
338,7,pid_rate,roll_outD
339,7,pid_rate,roll_outFF
340,7,pid_rate,pitch_outP
341,7,pid_rate,pitch_outI
342,7,pid_rate,pitch_outD
343,7,pid_rate,pitch_outFF
344,7,pid_rate,yaw_outP
345,7,pid_rate,yaw_outI
346,7,pid_rate,yaw_outD
347,7,pid_rate,yaw_outFF
348,7,ctrlINDI,cmd_thrust
349,7,ctrlINDI,cmd_roll
350,7,ctrlINDI,cmd_pitch
351,7,ctrlINDI,cmd_yaw
352,7,ctrlINDI,r_roll
353,7,ctrlINDI,r_pitch
354,7,ctrlINDI,r_yaw
355,7,ctrlINDI,u_act_dyn_p
356,7,ctrlINDI,u_act_dyn_q
357,7,ctrlINDI,u_act_dyn_r
358,7,ctrlINDI,du_p
359,7,ctrlINDI,du_q
360,7,ctrlINDI,du_r
361,7,ctrlINDI,ang_accel_ref_p
362,7,ctrlINDI,ang_accel_ref_q
363,7,ctrlINDI,ang_accel_ref_r
364,7,ctrlINDI,rate_d[0]
365,7,ctrlINDI,rate_d[1]
366,7,ctrlINDI,rate_d[2]
367,7,ctrlINDI,uf_p
368,7,ctrlINDI,uf_q
369,7,ctrlINDI,uf_r
370,7,ctrlINDI,Omega_f_p
371,7,ctrlINDI,Omega_f_q
372,7,ctrlINDI,Omega_f_r
373,7,ctrlINDI,n_p
374,7,ctrlINDI,n_q
375,7,ctrlINDI,n_r
376,7,ctrlMel,cmd_thrust
377,7,ctrlMel,cmd_roll
378,7,ctrlMel,cmd_pitch
379,7,ctrlMel,cmd_yaw
380,7,ctrlMel,r_roll
381,7,ctrlMel,r_pitch
382,7,ctrlMel,r_yaw
383,7,ctrlMel,accelz
384,7,ctrlMel,zdx
385,7,ctrlMel,zdy
386,7,ctrlMel,zdz
387,7,ctrlMel,i_err_x
388,7,ctrlMel,i_err_y
389,7,ctrlMel,i_err_z
390,7,posCtrlIndi,posRef_x
391,7,posCtrlIndi,posRef_y
392,7,posCtrlIndi,posRef_z
393,7,posCtrlIndi,velS_x
394,7,posCtrlIndi,velS_y
395,7,posCtrlIndi,velS_z
396,7,posCtrlIndi,velRef_x
397,7,posCtrlIndi,velRef_y
398,7,posCtrlIndi,velRef_z
399,7,posCtrlIndi,angS_roll
400,7,posCtrlIndi,angS_pitch
401,7,posCtrlIndi,angS_yaw
402,7,posCtrlIndi,angF_roll
403,7,posCtrlIndi,angF_pitch
404,7,posCtrlIndi,angF_yaw
405,7,posCtrlIndi,accRef_x
406,7,posCtrlIndi,accRef_y
407,7,posCtrlIndi,accRef_z
408,7,posCtrlIndi,accS_x
409,7,posCtrlIndi,accS_y
410,7,posCtrlIndi,accS_z
411,7,posCtrlIndi,accF_x
412,7,posCtrlIndi,accF_y
413,7,posCtrlIndi,accF_z
414,7,posCtrlIndi,accFT_x
415,7,posCtrlIndi,accFT_y
416,7,posCtrlIndi,accFT_z
417,7,posCtrlIndi,accErr_x
418,7,posCtrlIndi,accErr_y
419,7,posCtrlIndi,accErr_z
420,7,posCtrlIndi,phi_tilde
421,7,posCtrlIndi,theta_tilde
422,7,posCtrlIndi,T_tilde
423,7,posCtrlIndi,T_inner
424,7,posCtrlIndi,T_inner_f
425,7,posCtrlIndi,T_incremented
426,7,posCtrlIndi,cmd_phi
427,7,posCtrlIndi,cmd_theta
428,7,posCtl,targetVX
429,7,posCtl,targetVY
430,7,posCtl,targetVZ
431,7,posCtl,targetX
432,7,posCtl,targetY
433,7,posCtl,targetZ
434,7,posCtl,bodyVX
435,7,posCtl,bodyVY
436,7,posCtl,bodyX
437,7,posCtl,bodyY
438,7,posCtl,Xp
439,7,posCtl,Xi
440,7,posCtl,Xd
441,7,posCtl,Xff
442,7,posCtl,Yp
443,7,posCtl,Yi
444,7,posCtl,Yd
445,7,posCtl,Yff
446,7,posCtl,Zp
447,7,posCtl,Zi
448,7,posCtl,Zd
449,7,posCtl,Zff
450,7,posCtl,VXp
451,7,posCtl,VXi
452,7,posCtl,VXd
453,7,posCtl,VXff
454,7,posCtl,VYp
455,7,posCtl,VYi
456,7,posCtl,VYd
457,7,posCtl,VYff
458,7,posCtl,VZp
459,7,posCtl,VZi
460,7,posCtl,VZd
461,7,posCtl,VZff
462,7,ctrlLee,KR_x
463,7,ctrlLee,KR_y
464,7,ctrlLee,KR_z
465,7,ctrlLee,Kw_x
466,7,ctrlLee,Kw_y
467,7,ctrlLee,Kw_z
468,7,ctrlLee,Kpos_Px
469,7,ctrlLee,Kpos_Py
470,7,ctrlLee,Kpos_Pz
471,7,ctrlLee,Kpos_Dx
472,7,ctrlLee,Kpos_Dy
473,7,ctrlLee,Kpos_Dz
474,7,ctrlLee,thrustSi
475,7,ctrlLee,torquex
476,7,ctrlLee,torquey
477,7,ctrlLee,torquez
478,7,ctrlLee,rpyx
479,7,ctrlLee,rpyy
480,7,ctrlLee,rpyz
481,7,ctrlLee,rpydx
482,7,ctrlLee,rpydy
483,7,ctrlLee,rpydz
484,7,ctrlLee,error_posx
485,7,ctrlLee,error_posy
486,7,ctrlLee,error_posz
487,7,ctrlLee,error_velx
488,7,ctrlLee,error_vely
489,7,ctrlLee,error_velz
490,7,ctrlLee,omegax
491,7,ctrlLee,omegay
492,7,ctrlLee,omegaz
493,7,ctrlLee,omegarx
494,7,ctrlLee,omegary
495,7,ctrlLee,omegarz
496,7,kalman,stateX
497,7,kalman,stateY
498,7,kalman,stateZ
499,7,kalman,statePX
500,7,kalman,statePY
501,7,kalman,statePZ
502,7,kalman,stateD0
503,7,kalman,stateD1
504,7,kalman,stateD2
505,7,kalman,varX
506,7,kalman,varY
507,7,kalman,varZ
508,7,kalman,varPX
509,7,kalman,varPY
510,7,kalman,varPZ
511,7,kalman,varD0
512,7,kalman,varD1
513,7,kalman,varD2
514,7,kalman,q0
515,7,kalman,q1
516,7,kalman,q2
517,7,kalman,q3
518,7,kalman,rtUpdate
519,7,kalman,rtPred
520,7,kalman,rtFinal
521,6,outlierf,lhWin
522,7,estimator,rtApnd
523,7,estimator,rtRej
524,7,posEstAlt,estimatedZ
525,7,posEstAlt,estVZ
526,7,posEstAlt,velocityZ
527,1,DTR_P2P,rx_state
528,1,DTR_P2P,tx_state
